date (m/d/y),message,title,time
9/11/2018,"<p>Hi everyone,</p>
<p>Please check out the agenda here for our LS Ops Meeting today and come prepared to discuss the issues. Please feel free to add any new agenda items as well.</p>
<p><a title=""LS Ops Meeting Notes"" href=""https://canvas.ubc.ca/courses/6040/pages/ls-ops-meeting-notes"">LS Ops Meeting Notes</a></p>
<p>See you soon,</p>
<p>Barish</p>",September 11 LS Ops Agenda - please review,9:30
9/18/2018,"<p>Hi everyone,</p>
<p>Please check out the agenda here for our LS Ops Meeting today and come prepared to discuss the issues. Please feel free to add any new agenda items as well.</p>
<p><a title=""LS Ops Meeting Notes"" href=""https://canvas.ubc.ca/courses/6040/pages/ls-ops-meeting-notes"">LS Ops Meeting Notes</a></p>
<p>See you soon,</p>
<p>Barish</p>",September 18 LS Ops Agenda - please review,9:30
9/25/2018,"<p>Hi everyone,</p>
<p>Please check out the agenda here for our LS Ops Meeting today and come prepared to discuss the issues. Please feel free to add any new agenda items as well.</p>
<p><a title=""LS Ops Meeting Notes"" href=""https://canvas.ubc.ca/courses/6040/pages/ls-ops-meeting-notes"">LS Ops Meeting Notes</a></p>
<p>See you soon,</p>
<p>Barish</p>",September 25 LS Ops Agenda - please review,9:30
10/2/2018,"<p>Hi everyone,</p>
<p>Please check out the agenda here for our LS Ops Meeting today and come prepared to discuss the issues. Please feel free to add any new agenda items as well.</p>
<p><a title=""LS Ops Meeting Notes"" href=""https://canvas.ubc.ca/courses/6040/pages/ls-ops-meeting-notes"">LS Ops Meeting Notes</a></p>
<p>See you soon,</p>
<p>Barish</p>",October 2 LS Ops Agenda - please review,9:30
10/9/2018,"<p>Hi everyone,</p>
<p>Please check out the agenda here for our LS Ops Meeting today and come prepared to discuss the issues. Please feel free to add any new agenda items as well.</p>
<p><a title=""LS Ops Meeting Notes"" href=""https://canvas.ubc.ca/courses/6040/pages/ls-ops-meeting-notes"">LS Ops Meeting Notes</a></p>
<p>See you soon,</p>
<p>Barish</p>",October 9 LS Ops Agenda - please review,9:30
10/16/2018,"<p>Hi everyone,</p>
<p>Please check out the agenda here for our LS Ops Meeting today and come prepared to discuss the issues. Please feel free to add any new agenda items as well.</p>
<p><a title=""LS Ops Meeting Notes"" href=""https://canvas.ubc.ca/courses/6040/pages/ls-ops-meeting-notes"">LS Ops Meeting Notes</a></p>
<p>See you soon,</p>
<p>Barish</p>",October 16 LS Ops Agenda - please review,9:30
10/23/2018,"<p>Hi everyone,</p>
<p>Please check out the agenda here for our LS Ops Meeting today and come prepared to discuss the issues. Please feel free to add any new agenda items as well.</p>
<p><a title=""LS Ops Meeting Notes"" href=""https://canvas.ubc.ca/courses/6040/pages/ls-ops-meeting-notes"">LS Ops Meeting Notes</a></p>
<p>See you soon,</p>
<p>Barish</p>",October 23 LS Ops Agenda - please review,9:30
10/30/2018,"<p>Hi everyone,</p>
<p>Please check out the agenda here for our LS Ops Meeting today and come prepared to discuss the issues. Please feel free to add any new agenda items as well.</p>
<p><a title=""LS Ops Meeting Notes"" href=""https://canvas.ubc.ca/courses/6040/pages/ls-ops-meeting-notes"">LS Ops Meeting Notes</a></p>
<p>See you soon,</p>
<p>Barish</p>",October 30 LS Ops Agenda - please review,9:30
